duration(ms)	start-time	end-time	method	url	body	response
0	0	0	POST	https://127.0.0.1:8081/petstore/user	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/user/logout	undefined	200
0	0	0	POST	https://127.0.0.1:8081/petstore/user/createWithList	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/user/e18603b9-405c-11ea-a28b-b00cd16bf02a	undefined	400
0	0	0	GET	https://127.0.0.1:8081/petstore/user/e18603b9-405c-11ea-a28b-b00cd16bf02a	undefined	404
0	0	0	GET	https://127.0.0.1:8081/petstore/user/e18603b9-405c-11ea-a28b-b00cd16bf02a	undefined	200
0	0	0	PUT	https://127.0.0.1:8081/petstore/user/e18603b9-405c-11ea-a28b-b00cd16bf02a	undefined	400
0	0	0	PUT	https://127.0.0.1:8081/petstore/user/e18603b9-405c-11ea-a28b-b00cd16bf02a	undefined	404
0	0	0	DELETE	https://127.0.0.1:8081/petstore/user/e18603b9-405c-11ea-a28b-b00cd16bf02a	undefined	400
0	0	0	DELETE	https://127.0.0.1:8081/petstore/user/e18603b9-405c-11ea-a28b-b00cd16bf02a	undefined	404
0	0	0	GET	https://127.0.0.1:8081/petstore/user/login	undefined	400
0	0	0	GET	https://127.0.0.1:8081/petstore/user/login	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/user/login?username=val0&password=val1	undefined	200
0	0	0	POST	https://127.0.0.1:8081/petstore/user/createWithArray	undefined	200
0	0	0	PUT	https://127.0.0.1:8081/petstore/pet	undefined	400
0	0	0	PUT	https://127.0.0.1:8081/petstore/pet	undefined	404
0	0	0	PUT	https://127.0.0.1:8081/petstore/pet	undefined	405
0	0	0	POST	https://127.0.0.1:8081/petstore/pet	undefined	405
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/findByStatus	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/findByStatus	undefined	400
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/findByStatus?status=val0	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/findByTags	undefined	400
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/findByTags	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/findByTags?tags=val0	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/e1864845-405c-11ea-a28b-b00cd16bf02a	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/e1864845-405c-11ea-a28b-b00cd16bf02a	undefined	400
0	0	0	GET	https://127.0.0.1:8081/petstore/pet/e1864845-405c-11ea-a28b-b00cd16bf02a	undefined	404
0	0	0	POST	https://127.0.0.1:8081/petstore/pet/e1864845-405c-11ea-a28b-b00cd16bf02a	undefined	405
0	0	0	DELETE	https://127.0.0.1:8081/petstore/pet/e1864845-405c-11ea-a28b-b00cd16bf02a	undefined	400
0	0	0	DELETE	https://127.0.0.1:8081/petstore/pet/e1864845-405c-11ea-a28b-b00cd16bf02a	undefined	404
0	0	0	POST	https://127.0.0.1:8081/petstore/pet/e1864845-405c-11ea-a28b-b00cd16bf02a/uploadImage	undefined	200
0	0	0	POST	https://127.0.0.1:8081/petstore/store/order	undefined	200
0	0	0	POST	https://127.0.0.1:8081/petstore/store/order	undefined	400
0	0	0	GET	https://127.0.0.1:8081/petstore/store/order/e1864845-405c-11ea-a28c-b00cd16bf02a	undefined	200
0	0	0	GET	https://127.0.0.1:8081/petstore/store/order/e1864845-405c-11ea-a28c-b00cd16bf02a	undefined	400
0	0	0	GET	https://127.0.0.1:8081/petstore/store/order/e1864845-405c-11ea-a28c-b00cd16bf02a	undefined	404
0	0	0	DELETE	https://127.0.0.1:8081/petstore/store/order/e1864845-405c-11ea-a28c-b00cd16bf02a	undefined	400
0	0	0	DELETE	https://127.0.0.1:8081/petstore/store/order/e1864845-405c-11ea-a28c-b00cd16bf02a	undefined	404
0	0	0	GET	https://127.0.0.1:8081/petstore/store/inventory	undefined	200
